ID,Section,Due,Task,Status,Owner,Waiting on,Why it matters,Draft / reference,Notes (Randall),,PROGRESS,
1,1. This week,2026-08-05,Send Dr. Heyl one email with 5 questions (start date; locations+capacity; why pain medicine; how he wants to review; his definition of a good 90 days; permission for personal details),Not Started,Randall,Dr. Heyl,His bio cannot be written without the 'why pain medicine' answer. Also blocks the target list and the 90-day plan.,01-email-to-heyl.md,,,Complete,"=TEXT(IFERROR(COUNTIF($E$2:$E$500,""Done"")/COUNTA($A$2:$A$500),0),""0%"")"
2,1. This week,2026-08-07,Send the photographer the shot list for Aug 10,Not Started,Randall,,"One shoot has to produce the portrait, environmental shots, a vertical clip and directory crops.",02-photo-shot-list.md,,,Done,"=COUNTIF($E$2:$E$500,""Done"")"
3,1. This week,2026-08-07,Ask him once if he will do one 90-second vertical video at the shoot,Not Started,Randall,Dr. Heyl,"He asked to be asked individually. Ask once; if it is a no, drop it.",02-photo-shot-list.md,,,In Progress,"=COUNTIF($E$2:$E$500,""In Progress"")"
4,1. This week,2026-08-05,"Send the one-page rules sheet to content, Kristen, Kelly, Blue Ox and Cardinal",Not Started,Randall,,"Board-eligible language, fellowship wording and the never-promote list. Everyone writing about him needs it before they write.",03-messaging-guardrails.md,,,Blocked,"=COUNTIF($E$2:$E$500,""Blocked"")"
5,1. This week,2026-08-05,Ask Paul 3 CMS questions: can a provider link to a treatment / do condition pages link to treatments / can the dead URLs be redirected,Not Started,Randall,Paul,"GATES THE WHOLE SEPTEMBER PLAN. If the provider-to-treatment link does not exist, building it makes every future physician launch trivial.",26-semantic-model-mapping.md,,,Not Started,"=COUNTIF($E$2:$E$500,""Not Started"")"
6,2. Before the shoot,2026-08-21,"Ask Operations in writing what is actually available day one (PNS, SCS, EMG, PRP, ASC days, Troy, weekly capacity)",Not Started,Randall,Operations,We only promote what Ops confirms. Anything unconfirmed by Aug 21 comes out of the launch.,05-operations-capability-request.md,,,Total,=COUNTA($A$2:$A$500)
7,2. Before the shoot,2026-08-12,Google his name and catalogue every profile that already exists,Not Started,Randall,,Auto-generated profiles almost always exist for a finishing fellow. Claiming beats creating; duplicates are the problem.,10-directory-profile-pack.md,,,,
8,2. Before the shoot,2026-08-14,Lock the bio URL /providers/jonathan-heyl-do/ and block every variant,Not Started,Randall,Paul,"Oddo, Kevin Lee and Singh each have two competing bio pages splitting their traffic. Singh's misspelled page outranks his real one. Free now, painful later.",08-url-lock.md,,,Status values:,Not Started / In Progress / Blocked / Done
9,2. Before the shoot,2026-08-14,Send Paul the 12-URL redirect map (dead /specialties/pain-management/ to live /treatment/),Not Started,Randall,Paul,One of them still ranks position 6.0 - redirect that one carefully and watch it.,27-heyl-treatment-map.csv,,,,
10,3. Rest of August,2026-08-18,Write his bio,Not Started,Randall,Dr. Heyl (Q3),Physician bios are our strongest content. Top ones earn 200-360 clicks a quarter.,06-bio-page.md,,,,
