source_url,destination_url,cleanup_area,reason,confidence,source_status,destination_status,source_clicks_16mo,source_impressions_16mo,source_impressions_last90d,dest_impressions_last90d
https://synergyhealth.org/specialties/spine-back-and-neck/lumbar-laminectomy/,https://synergyhealth.org/treatment/lumbar-laminectomy/,A. Duplicate content - parallel URL structures,Same topic 'lumbar-laminectomy' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,331,84568,1,2271
https://synergyhealth.org/specialties/orthopedic-services/,https://synergyhealth.org/specialty/orthopedic-services/,A. Duplicate content - parallel URL structures,Same topic 'orthopedic-services' live at /specialties/ and /specialty/; keep the URL Google already prefers,High,Live,Live,127,67527,0,4637
https://synergyhealth.org/specialties/physical-therapy/,https://synergyhealth.org/specialty/physical-therapy/,A. Duplicate content - parallel URL structures,Same topic 'physical-therapy' live at /specialties/ and /specialty/; keep the URL Google already prefers,High,Live,Live,192,64266,0,9538
https://synergyhealth.org/specialties/occupational-therapy/hand-therapy/,https://synergyhealth.org/treatment/hand-therapy/,A. Duplicate content - parallel URL structures,Same topic 'hand-therapy' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,36,62446,13,1669
https://synergyhealth.org/conditions-we-treat/hand-upper-extremity-conditions/carpal-tunnel-syndrome/,https://synergyhealth.org/conditions/carpal-tunnel-syndrome/,A. Duplicate content - parallel URL structures,Same topic 'carpal-tunnel-syndrome' live at /conditions-we-treat/ and /conditions/; keep the URL Google already prefers,High,Live,Live,12,51642,0,760
https://synergyhealth.org/providers/david-h-mendelson-md/,https://synergyhealth.org/providers/david-mendelson-md/,A. Duplicate content - parallel URL structures,Same provider (David Mendelson); consolidate to primary profile,High,Live,Live,1020,49073,0,14360
https://synergyhealth.org/specialties/occupational-therapy/custom-orthoses-splints/,https://synergyhealth.org/treatment/custom-orthoses-splints/,A. Duplicate content - parallel URL structures,Same topic 'custom-orthoses-splints' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,255,42461,0,6349
https://synergyhealth.org/providers/stephen-d-mendelson-md/,https://synergyhealth.org/providers/stephen-mendelson-md/,A. Duplicate content - parallel URL structures,Same provider (Stephen Mendelson); consolidate to primary profile,High,Live,Live,1204,40848,0,9497
https://synergyhealth.org/conditions-we-treat/spine-neck-back-conditions/neck-fracture-broken-neck/,https://synergyhealth.org/conditions/neck-fracture-broken-neck/,A. Duplicate content - parallel URL structures,Same topic 'neck-fracture-broken-neck' live at /conditions-we-treat/ and /conditions/; keep the URL Google already prefers,High,Live,Live,88,39615,0,70088
https://synergyhealth.org/specialties/hand-upper-extremity/nerve-repair/,https://synergyhealth.org/treatment/nerve-repair/,A. Duplicate content - parallel URL structures,Same topic 'nerve-repair' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,23,35747,0,4653
https://synergyhealth.org/providers/kevin-r-lee-md/,https://synergyhealth.org/providers/kevin-lee-md/,A. Duplicate content - parallel URL structures,Same provider (Kevin Lee); consolidate to primary profile,High,Live,Live,1027,34707,3140,6885
https://synergyhealth.org/providers/jeffrey-b-klein-dpm/,https://synergyhealth.org/providers/jeffrey-klein-dpm/,A. Duplicate content - parallel URL structures,Same provider (Jeffrey Klein); consolidate to primary profile,High,Live,Live,713,27232,0,7674
https://synergyhealth.org/conditions-we-treat/hand-upper-extremity-conditions/hand-arthritis/,https://synergyhealth.org/conditions/hand-arthritis/,A. Duplicate content - parallel URL structures,Same topic 'hand-arthritis' live at /conditions-we-treat/ and /conditions/; keep the URL Google already prefers,High,Live,Live,2,23775,0,4335
https://synergyhealth.org/specialties/pain-management/trigger-point-injection/,https://synergyhealth.org/treatment/trigger-point-injection/,A. Duplicate content - parallel URL structures,Same topic 'trigger-point-injection' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,13,21914,0,6193
https://synergyhealth.org/specialties/orthopedic-services/shoulder-arthroscopy/,https://synergyhealth.org/treatment/shoulder-arthroscopy/,A. Duplicate content - parallel URL structures,Same topic 'shoulder-arthroscopy' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,5,19880,0,880
https://synergyhealth.org/specialties/pain-management/peripheral-nerve-injection/,https://synergyhealth.org/treatment/peripheral-nerve-injection/,A. Duplicate content - parallel URL structures,Same topic 'peripheral-nerve-injection' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,56,17613,0,7184
https://synergyhealth.org/specialties/pain-management/spinal-cord-stimulator/,https://synergyhealth.org/treatment/spinal-cord-stimulator/,A. Duplicate content - parallel URL structures,Same topic 'spinal-cord-stimulator' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,9,16813,0,2675
https://synergyhealth.org/specialties/spine-back-and-neck/sacroiliac-joint-fusion/,https://synergyhealth.org/treatment/sacroiliac-joint-fusion/,A. Duplicate content - parallel URL structures,Same topic 'sacroiliac-joint-fusion' live at /specialties/ and /treatment/; keep the URL Google already prefers,High,Live,Live,29,16762,0,2905
https://synergyhealth.org/conditions-we-treat/foot-ankle-conditions/mortons-neuroma/,https://synergyhealth.org/conditions/mortons-neuroma/,A. Duplicate content - parallel URL structures,Same topic 'mortons-neuroma' live at /conditions-we-treat/ and /conditions/; keep the URL Google already prefers,High,Live,Live,3,13784,10,2402
