MMC Company ID,Account / Practice,Assigned PL,Tier,Wave,Practice Type,Referral Evidence Band,2026 Spine Patients,2026 Total B2B Patients,Known Referring Providers (2026 referral match),Linked People (MMC),Payer Class (heuristic),Payer Detail,Payer Basis / Status,Payer Line for PL,Visit Message
6e52135e-6cca-4482-9973-58d180f1dce7,DMC SPORTS MEDICINE NOVI,Jasmine,Tier 1,Wave 1,Orthopedic,Repeat Spine Referrer,7,7,"Robert Meehan, MD (2 spine)",5,MIXED-SYSTEM,Hospital-system site — mixed commercial + Medicare + some Medicaid; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: mixed panel — screen at intake; HMO plans need PCP referral (we assist).,"Thank you for trusting us with the care of your patients (Dr. Meehan's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; for the spine cases outside your scope, we co-manage: your patient stays yours, our spine team handles just the spine problem, notes back to you every visit. ASK: anything pending right now we can get seen this week?"
92913d4d-edc4-462b-aecf-ef3f54198f09,Park Medical Centers,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,5,12,"Richard Ozog, DO (4 spine) · Kathryn Marie Poulos, PA (1 spine)",5,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Ozog's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
c7781046-a235-49fa-ac8e-4b8d6354c618,Comprehensive Healthcare Associates and Prevention Medicine,Jasmine,Tier 1,Wave 1,PCP,Repeat Spine Referrer,6,24,"Babu Jarodiya, MD (5 spine) · Jaya Vankayalapati, MD (1 spine) · Rakesh Patel, MD (3 ortho) · Jaspal Singh, MD (2 ortho)",8,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Jarodiya's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
64ed5116-24c0-4278-8d87-a7ca5f7d76c4,Lakeview Medical Center,Coty,Tier 1,Wave 1,PCP,Repeat Spine Referrer,7,13,"Magdy Wanis, MD (5 spine) · Rachel N Kloski, PA-C (2 spine)",6,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Wanis's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
e9020844-6b2a-43b6-9416-51116e859cc2,Schoenherr Family Practice,Coty,Tier 1,Wave 1,PCP,Repeat Spine Referrer,6,8,"Kelly K Machesky, MD (6 spine) · Matthew Romano (1 ortho)",7,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Machesky's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
3b453978-15f0-429d-ab43-67d84178b21f,Kajy Law,Kristen,Tier 1,Wave 1,Attorney / Legal,Repeat Spine Referrer,5,5,Kajy Law (5 spine),2,WC-AUTO,"WC / Auto No-Fault — commercial-equivalent, no referral needed (QUALIFIED)",Rule (payer taxonomy) — confirm case mix on visit — intake (Kelly) verifies Tier 1 first; NOT confirmed,"Payer: auto no-fault + WC accepted, no referral, no copay.","Thank you for trusting us with the care of your patients (Kajy Law's team especially). OPEN: service check — are records, scheduling and communication meeting your standard? MESSAGE: auto no-fault and workers' comp spine evaluations with fast scheduling, thorough documentation and clean records turnaround — service only, evaluated on clinical merit. ASK: keep us as the spine evaluation resource for auto/WC clients; leave the direct scheduling line + records turnaround commitment."
2dd4a698-eeec-4552-98ba-d85b130bcc56,Mike Morse Law Firm,Kristen,Tier 1,Wave 1,Attorney / Legal,Repeat Spine Referrer,75,94,Mike Morse (75 spine),42,WC-AUTO,"WC / Auto No-Fault — commercial-equivalent, no referral needed (QUALIFIED)",Rule (payer taxonomy) — confirm case mix on visit — intake (Kelly) verifies Tier 1 first; NOT confirmed,"Payer: auto no-fault + WC accepted, no referral, no copay.","Thank you for trusting us with the care of your patients (Mike Morse's team especially). OPEN: service check — are records, scheduling and communication meeting your standard? MESSAGE: auto no-fault and workers' comp spine evaluations with fast scheduling, thorough documentation and clean records turnaround — service only, evaluated on clinical merit. ASK: keep us as the spine evaluation resource for auto/WC clients; leave the direct scheduling line + records turnaround commitment."
047f1f57-d796-4b0d-b2d0-b5d576ad50ea,Park Medical Centers - Canton,Jasmine,Tier 1,Wave 1,PCP,Repeat Spine Referrer,5,9,"William F Rollins, DO (4 spine) · William Rollins, DO (1 spine)",1,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Rollins's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
e1df3a06-b408-47d1-8333-8e5c30e7bc97,DMC PRIMARY AND SPECIALTY CARE WEST BLOOMFIELD,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,5,6,"Mark Aronov, DO (3 spine) · Madhumitha Krishnamoorthy (2 spine)",5,MIXED-SYSTEM,Hospital-system site — mixed commercial + Medicare + some Medicaid; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: mixed panel — screen at intake; HMO plans need PCP referral (we assist).,"Thank you for trusting us with the care of your patients (Dr. Aronov's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
b6033c7f-ac4e-4957-b3b0-519077da6c8d,Henry Ford Primary Care Center - 160,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,5,6,"May Antone, MD (4 spine) · Neeran Bajouka, MD (1 spine) · Neeran Yosif Bajouka, MD",2,MIXED-SYSTEM,Hospital-system site — mixed commercial + Medicare + some Medicaid; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: mixed panel — screen at intake; HMO plans need PCP referral (we assist).,"Thank you for trusting us with the care of your patients (Dr. Antone's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
